# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
1.570880296641500085e+00 4.308906382891399822e-01 -1.085035389591600119e-01 -3.321541227291300302e-01 -4.273532746516600644e-01 -2.568467586077100018e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.800000000000000044e+00
1.579490593929500086e+00 4.313020282692400231e-01 -1.090312536505600172e-01 -3.321851941491300586e-01 -4.270101788116600350e-01 -2.565279260261100203e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.750000000000000000e+00
1.588100891217500088e+00 4.317134182493400085e-01 -1.095589683419600086e-01 -3.322162655691299760e-01 -4.266670829716600055e-01 -2.562090934445100388e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.699999999999999956e+00
1.596711188505500090e+00 4.321248082294399939e-01 -1.100866830333599999e-01 -3.322473369891300043e-01 -4.263239871316599761e-01 -2.558902608629100017e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.649999999999999911e+00
1.605321485793500091e+00 4.325361982095400348e-01 -1.106143977247600052e-01 -3.322784084091299772e-01 -4.259808912916600576e-01 -2.555714282813099647e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.599999999999999867e+00
1.613931783081500093e+00 4.329475881896400202e-01 -1.111421124161600105e-01 -3.323094798291299501e-01 -4.256377954516600282e-01 -2.552525956997100387e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.549999999999999822e+00
1.623101050835000114e+00 4.333602112610899781e-01 -1.116696351204100046e-01 -3.323302231767799597e-01 -4.253327284131099839e-01 -2.549841562625599911e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.499999999999999778e+00
1.635916437657999989e+00 4.336277693597900273e-01 -1.123100510260100077e-01 -3.322710000275799769e-01 -4.247936983547100365e-01 -2.544019809138599597e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.449999999999999734e+00
1.648731824481000086e+00 4.338953274584900210e-01 -1.129504669316099968e-01 -3.322117768783799940e-01 -4.242546682963099780e-01 -2.538198055651599838e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.399999999999999689e+00
1.661547211304000182e+00 4.341628855571900147e-01 -1.135908828372099999e-01 -3.321525537291799557e-01 -4.237156382379100306e-01 -2.532376302164600079e-01 5.095000000000000000e+03 3.009999999999999787e+00 -1.349999999999999645e+00
