# LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity
1.390522956848144531e+00 3.152661323547363281e-01 -1.122028231620788574e-01 -2.592220306396484375e-01 -3.034253120422363281e-01 -1.035571098327636719e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.300000000000000044e+00
1.403828620910644531e+00 3.171939849853515625e-01 -1.136394143104553223e-01 -2.598109245300292969e-01 -2.981522083282470703e-01 -1.003134250640869141e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.250000000000000000e+00
1.414851188659667969e+00 3.216266632080078125e-01 -1.146659851074218750e-01 -2.635395526885986328e-01 -3.000445365905761719e-01 -1.064643859863281250e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.199999999999999956e+00
1.422107696533203125e+00 3.180620670318603516e-01 -1.149727702140808105e-01 -2.607972621917724609e-01 -2.997269630432128906e-01 -1.030511856079101562e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.149999999999999911e+00
1.432113647460937500e+00 3.208472728729248047e-01 -1.157544255256652832e-01 -2.617330551147460938e-01 -3.006954193115234375e-01 -1.023886203765869141e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.099999999999999867e+00
1.448216915130615234e+00 3.206410408020019531e-01 -1.170255541801452637e-01 -2.616789340972900391e-01 -3.028857707977294922e-01 -1.020538806915283203e-01 5.614000000000000000e+03 4.040000000000000036e+00 -1.049999999999999822e+00
1.459331989288330078e+00 3.200242519378662109e-01 -1.174778342247009277e-01 -2.601709365844726562e-01 -2.983500957489013672e-01 -1.013956069946289062e-01 5.614000000000000000e+03 4.040000000000000036e+00 -9.999999999999997780e-01
1.474453926086425781e+00 3.256092071533203125e-01 -1.179996728897094727e-01 -2.630565166473388672e-01 -3.025097846984863281e-01 -1.036953926086425781e-01 5.614000000000000000e+03 4.040000000000000036e+00 -9.499999999999997335e-01
1.474901676177978516e+00 3.237228393554687500e-01 -1.176954209804534912e-01 -2.618677616119384766e-01 -3.001890182495117188e-01 -1.018068790435791016e-01 5.614000000000000000e+03 4.040000000000000036e+00 -8.999999999999996891e-01
1.484033107757568359e+00 3.261358737945556641e-01 -1.186726987361907959e-01 -2.648413181304931641e-01 -3.005185127258300781e-01 -1.029479503631591797e-01 5.614000000000000000e+03 4.040000000000000036e+00 -8.499999999999996447e-01
